Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText
12,3,,,,,,,Св. прор. Софонії,Святого пророка Софонії,
12,4,,,,🕃,&,,🕃 Св. вмц. Варвари,🕃 Святої великомучениці Варвари,
12,4,,,,,,,Прп. Івана Дамаскина,Преподобного отця нашого Івана Дамаскина,
12,5,,,r,🕂,+,&dagger;,🕂 Прп. й богоносного Сави Освященного,🕂 Преподобного й богоносного отця нашого Сави Освященного,
12,6,,,r,🕁,*,&dagger;,"🕁 Св. Миколая, архиєп. Мир Ликійських, чудотв.","🕁 Святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця",
12,7,,,,,,,"Св. Амвросія, єп. Медіоланського","Святого отця нашого Амвросія, єпископа Медіоланського",
12,8,,,,,,,Прп. Патапія,Преподобного отця нашого Патапія,
12,9,,,r,🕁,*,&dagger;,🕁 Непорочне Зачаття Пресв.  Богородиці св. Анною,🕁 Непорочне Зачаття Пресвятої  Богородиці св. Анною,
12,10,,,,,,,"Свв. мчч. Мини, Єрмогена і Євграфа","Святих мучеників Мини, Єрмогена і Євграфа",
12,11,,,,,,,Прп. Даниїла Стовпника,Преподобного отця нашого Даниїла Стовпника,
12,12,,,,🕃,&,,"🕃 Прп. Спиридона, чудотв., єп. Трімитійського","🕃 Преподобного отця нашого Спиридона, чудотворця, єпископа Трімитійського",
12,13,,,r,🕂,+,&dagger;,"🕂 Свв. мчч. Євстратія, Авксентія, Євгенія, Мардарія й Ореста","🕂 Святих мучеників Євстратія, Авксентія, Євгенія, Мардарія й Ореста",
12,13,,,,,,,"Св. мц. Лукії, діви","Святої мучениці Лукії, діви",
12,14,,,,,,,"Свв. мчч. Тирса, Левкія, Филимона, Аполлонія й Каленика","Святих мучеників Тирса, Левкія, Филимона, Аполлонія й Каленика",
12,15,b,,,🕃,&,,"🕃 Св. Стефана ісп., архиєп. Сурозького","🕃 Святого отця нашого Стефана ісповідника, архиєпископа Сурозького",
12,15,,,,,,,Св. сщмч. Єлевтерія,Святого священномученика Єлевтерія,
12,15,,,,,,,"Прп. Павла, що в Латрі","Преподобного отця нашого Павла, що в Латрі",
12,16,,,,,,,Св. прор. Аггея,Святого пророка Аггея,
12,17,,,,🕃,&,,🕃 Св. прор. Даниїла,🕃 Святого пророка Даниїла,
12,17,,,,,,,"Свв. трьох отроків: Ананії, Азарії й Мисаїла","Святих трьох отроків: Ананії, Азарії й Мисаїла",
12,18,,,,,,,"Св. мч. Севастіана і тих, що з ним","Святого мученика Севастіана і тих, що з ним",
12,19,,,,,,,Св. мч. Боніфатія,Святого мученика Боніфатія,
12,20,,,,🕃,&,,🕃 Передсвяття Різдва Господа Бога і Спаса нашого Ісуса Христа,🕃 Передсвяття Різдва Господа Бога і Спаса нашого Ісуса Христа,
12,20,,,,,,,Св. сщмч. Ігнатія Богоносця,Святого священномученика Ігнатія Богоносця,
12,21,,,,,,,Передсвяття Різдва Христового,Передсвяття Різдва Христового,
12,21,,,,,,,Св. мц. Юліанії,Святої мучениці Юліанії,
12,22,,,,,,,Передсвяття Різдва Христового,Передсвяття Різдва Христового,
12,22,,,,,,,Св. вмц. Анастасії,Святої великомучениці Анастасії,
12,23,,,,,,,Передсвяття Різдва Христового,Передсвяття Різдва Христового,
12,23,,,,,,,"Свв. десятьох мчч., що в Криті","Святих десятьох мучеників, що в Криті",
12,24,,,r,,,,Навечір’я Різдва Христового,Навечір’я Різдва Христового,
12,24,,,,,,,Св. прпмц. Євгенії,Святої преподобномучениці Євгенії,
