Читання,Книга,# зач.,,перевірка,Присвята,Примітка
"Мр. 4 зач.; 1, 23-28.",Мр.,4,,,Середа 12-го тидня,
"Мр. 5 зач.; 1, 29-35.",Мр.,5,,,Четвер 12-го тижня,
"Мр. 6 зач.; 1, 35-44.",Мр.,6,,,Субота 2-га посту,
"Мр. 7 зач.; 2, 1-12.",Мр.,7,,,Неділя 2-га посту,
"Мр. 8 зач.; 2, 14-17.",Мр.,8,,,Субота 3-тя посту,
"Мр. 9 зач.; 2, 18-22.",Мр.,9,,,П'ятниця 12-го тижня,Неділя 3-тя посту
"Мр. 10 зач.; 2, 23 – 3, 5.",Мр.,10,,,Субота 1-ша посту,
"Мр. 11 зач.; 3, 6-12.",Мр.,11,,,Понеділок 13-го тижня,
"Мр. 12 зач.; 3, 13-19.",Мр.,12,,,Вівторок 13-го тижня,
"Мр. 13 зач.; 3, 20-27.",Мр.,13,,,Середа 13-го тидня,
"Мр. 14 зач.; 3, 28-35.",Мр.,14,,,Четвер 13-го тижня,
"Мр. 15 зач.; 4, 1-9.",Мр.,15,,,П'ятниця 13-го тижня,
"Мр. 16 зач.; 4, 10-23.",Мр.,16,,,Понеділок 14-го тижня,
"Мр. 17 зач.; 4, 24-34.",Мр.,17,,,Вівторок 14-го тижня,
"Мр. 18 зач.; 4, 35-41.",Мр.,18,,,Середа 14-го тидня,
"Мр. 19 зач.; 5, 1-20.",Мр.,19,,,Четвер 14-го тижня,
"Мр. 20 зач.; 5, 22-24; 35 – 6, 1.",Мр.,20,,,П'ятниця 14-го тижня,
"Мр. 21 зач.; 5, 24-34.",Мр.,21,,,Понеділок 15-го тижня,
"Мр. 22 зач.; 6, 1-7.",Мр.,22,,,Вівторок 15-го тижня,
"Мр. 23 зач.; 6, 7-13.",Мр.,23,,,Середа 15-го тидня,
"Мр. 24 зач.; 6, 14-30.",Мр.,24,,,"29 серпня, на Усікновення Предтечі, на Літургії",
"Мр. 25 зач.; 6, 30-45.",Мр.,25,,,Четвер 15-го тижня,
"Мр. 26 зач.; 6, 45-53.",Мр.,26,,,П'ятниця 15-го тижня,
"Мр. 27 зач.; 6, 54 – 7, 8.",Мр.,27,,,Понеділок 16-го тижня,
"Мр. 28 зач.; 7, 5-16.",Мр.,28,,,Вівторок 16-го тижня,
"Мр. 29 зач.; 7, 14-24.",Мр.,29,,,Середа 16-го тидня,
"Мр. 30 зач.; 7, 24-30.",Мр.,30,,,Четвер 16-го тижня,
"Мр. 31 зач.; 7, 31-37.",Мр.,31,,,Субота 4-та посту,
"Мр. 32 зач.; 8, 1-10.",Мр.,32,,,П'ятниця 16-го тижня,
"Мр. 33 зач.; 8, 11-21.",Мр.,33,,,Понеділок 30-го тижня,
"Мр. 34 зач.; 8, 22-26.",Мр.,34,,,Вівторок 30-го тижня,
"Мр. 35 зач.; 8, 27-31.",Мр.,35,,,Субота 5-та посту,
"Мр. 36 зач.; 8, 30-34.",Мр.,36,,,Середа 30-го тидня,
"Мр. 37 зач.; 8, 34 – 9, 1.",Мр.,37,,,Неділя 3-тя посту. Це ж і в неділю після Воздвиження,
"Мр. 38 зач.; 9, 2-9",Мр.,38,,,Переображення на Утрені,
"Мр. 39 зач.; 9, 10-16.",Мр.,39,,,Четвер 30-го тижня,
"Мр. 40 зач.; 9, 17-31.",Мр.,40,,,Неділя 4-та посту,
"Мр. 41 зач.; 9, 33-41.",Мр.,41,,,П'ятниця 30-го тижня. Це й Ігнатію Богоносцеві,
"Мр. 42 зач.; 9, 42 – 10, 1.",Мр.,42,,,Понеділок 31-го тижня,
"Мр. 43 зач.; 10, 2-12.",Мр.,43,,,Вівторок 31-го тижня,
"Мр. 44 зач.; 10, 11-16.",Мр.,44,,,Середа 31-го тидня,
"Мр. 45 зач.; 10, 17-27.",Мр.,45,,,Четвер 31-го тижня,
